date,open,high,low,close,volume,is_anomaly,symbol
2018-06-25,196.11,201.0,196.11,200.39,597000,False,MCB
2018-06-22,197.41,201.0,196.8,197.78,462300,False,MCB
2018-06-21,198.0,201.4,196.06,198.19,725200,False,MCB
2018-06-20,201.25,202.0,198.05,198.25,1034100,False,MCB
2018-06-19,206.13,206.99,200.8,201.46,1528700,False,MCB
2018-06-14,207.0,208.0,205.0,206.12,542700,False,MCB
2018-06-13,207.0,208.0,205.5,207.71,322500,False,MCB
2018-06-12,211.0,213.0,206.01,206.89,195900,False,MCB
2018-06-11,214.0,214.5,210.55,211.81,529200,False,MCB
2018-06-07,215.1,216.0,213.0,213.32,214800,False,MCB
2018-06-06,211.5,216.0,210.5,214.85,780100,False,MCB
2018-06-05,207.44,213.85,207.0,212.82,632500,False,MCB
2018-06-04,206.0,209.8,204.6,208.94,602100,False,MCB
2018-06-01,202.44,207.0,202.44,205.67,646800,False,MCB
2018-05-31,201.5,205.0,201.0,204.19,1008600,False,MCB
2018-05-30,204.5,204.5,199.99,200.14,637300,False,MCB
2018-05-29,200.0,204.0,200.0,203.95,563700,False,MCB
2018-05-28,201.9,204.5,197.2,198.59,274100,False,MCB
2018-05-25,198.21,202.0,198.0,199.98,263200,False,MCB
2018-05-24,202.0,203.0,198.0,199.42,2069500,False,MCB
2018-05-23,199.99,204.5,198.51,202.48,380000,False,MCB
2018-05-22,199.89,200.0,196.31,199.81,2038400,False,MCB
2018-05-21,197.12,198.5,195.25,197.4,1070000,False,MCB
2018-05-18,194.5,198.5,194.5,197.45,2348300,False,MCB
2018-05-17,199.5,200.4,191.2,195.47,332200,False,MCB
2018-05-16,198.47,200.98,198.47,199.82,94100,False,MCB
2018-05-15,199.24,200.0,198.0,199.66,263000,False,MCB
2018-05-14,199.0,200.0,198.0,198.66,519600,False,MCB
2018-05-11,202.8,202.95,199.0,200.01,348200,False,MCB
2018-05-10,203.05,204.0,200.25,201.2,412500,False,MCB
2018-05-09,202.0,206.85,198.75,205.04,928800,False,MCB
2018-05-08,205.5,206.01,200.5,201.12,977300,False,MCB
2018-05-07,208.5,208.69,205.0,205.76,143700,False,MCB
2018-05-04,206.0,206.95,204.49,205.76,366800,False,MCB
2018-05-03,209.96,209.96,205.5,206.28,402300,False,MCB
2018-05-02,208.98,211.5,208.05,208.88,175200,False,MCB
2018-04-30,212.5,212.5,208.0,208.85,548500,False,MCB
2018-04-27,212.05,213.97,210.0,210.76,896600,False,MCB
2018-04-26,214.5,214.5,211.0,211.43,329900,False,MCB
2018-04-25,212.9,215.0,212.5,214.38,196500,False,MCB
2018-04-24,211.25,213.2,210.75,212.9,335300,False,MCB
2018-04-23,212.0,212.0,210.1,211.43,377900,False,MCB
2018-04-20,211.02,213.0,209.6,211.2,227200,False,MCB
2018-04-19,212.9,213.25,209.0,211.88,272400,False,MCB
2018-04-18,214.21,214.69,211.71,212.24,255500,False,MCB
2018-04-17,214.51,215.44,212.5,214.4,182800,False,MCB
2018-04-16,215.0,215.79,214.0,214.99,48400,False,MCB
2018-04-13,218.1,218.64,214.5,214.94,391500,False,MCB
2018-04-12,219.0,219.0,216.55,218.55,88400,False,MCB
2018-04-11,219.68,220.0,217.22,218.3,248600,False,MCB
2018-04-10,219.13,219.89,217.5,217.98,115500,False,MCB
2018-04-09,219.0,220.97,219.0,219.94,96100,False,MCB
2018-04-06,220.95,224.01,219.99,220.31,635100,False,MCB
2018-04-05,217.1,221.0,216.6,219.81,2146300,False,MCB
2018-04-04,216.0,217.75,216.0,216.53,1298200,False,MCB
2018-04-03,216.94,217.01,215.01,215.85,816400,False,MCB
2018-04-02,218.0,218.01,214.13,215.99,2110800,False,MCB
2018-03-30,221.21,221.99,219.15,220.13,1726800,False,MCB
2018-03-29,222.5,224.0,221.0,222.1,410800,False,MCB
2018-03-28,217.51,222.49,217.51,221.78,164300,False,MCB
2018-03-27,223.01,224.88,217.0,217.98,553900,False,MCB
2018-03-26,223.31,225.0,221.99,224.51,485300,False,MCB
2018-03-22,226.0,226.01,220.0,224.09,392700,False,MCB
2018-03-21,220.5,226.0,220.5,222.95,915300,False,MCB
2018-03-20,210.0,220.76,209.02,219.67,1449800,False,MCB
2018-03-19,206.0,210.99,206.0,210.25,163200,False,MCB
2018-03-16,209.0,209.0,205.0,205.87,987400,False,MCB
2018-03-15,210.4,210.85,209.1,210.18,364400,False,MCB
2018-03-14,210.01,211.0,209.0,210.04,333600,False,MCB
2018-03-13,207.92,210.99,207.35,209.99,627400,False,MCB
2018-03-12,209.5,210.85,206.25,207.34,476100,False,MCB
2018-03-09,213.0,213.45,208.1,209.46,1182100,False,MCB
2018-03-08,212.26,213.5,211.7,212.73,191900,False,MCB
2018-03-07,213.28,214.0,212.3,212.99,616600,False,MCB
2018-03-06,214.5,216.16,213.0,213.28,356300,False,MCB
2018-03-05,215.5,216.95,213.51,214.27,127400,False,MCB
2018-03-02,217.75,218.9,215.0,215.94,319600,False,MCB
2018-03-01,219.0,221.2,216.9,217.47,383500,False,MCB
2018-02-28,221.0,222.1,217.0,218.39,244700,False,MCB
2018-02-27,216.01,223.0,215.16,221.17,163600,False,MCB
2018-02-26,217.0,219.0,215.0,217.2,501300,False,MCB
2018-02-23,218.97,219.99,214.51,217.95,379000,False,MCB
2018-02-22,216.0,220.0,210.05,215.82,482600,False,MCB
2018-02-21,220.9,221.0,215.01,215.63,1596400,False,MCB
2018-02-20,221.21,221.79,217.76,219.65,444400,False,MCB
2018-02-19,222.03,225.0,221.01,222.33,185300,False,MCB
2018-02-16,220.5,223.5,220.0,222.95,1353300,False,MCB
2018-02-15,219.0,220.8,216.2,219.8,454200,False,MCB
2018-02-14,218.0,220.85,217.13,218.51,345600,False,MCB
2018-02-13,220.0,221.75,217.0,218.07,1015500,False,MCB
2018-02-12,225.91,225.91,218.05,218.43,413300,False,MCB
2018-02-09,217.01,226.3,217.0,225.71,272100,False,MCB
2018-02-08,226.0,226.0,219.0,219.91,311700,False,MCB
2018-02-07,225.0,226.89,224.11,225.35,276400,False,MCB
2018-02-06,221.01,224.5,219.35,223.1,147900,False,MCB
2018-02-02,224.94,227.79,224.0,225.95,143900,False,MCB
